Cust No.,First Name,Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Num Of Policies,Credit Card,Active Member,Salary,Exited
83,Adrian,Mills,543,France,Female,36,3,,2,No,No,26020,0
84,Daniel,Onyeorulu,506,France,Female,34,4,90307.62,1,Yes,Yes,159235,0
85,Mary,Beit,493,France,Female,46,4,,2,Yes,No,1908,0
86,Alfred,Ndukaku,652,Spain,Female,75,10,,2,Yes,Yes,114676,0
87,Robert,Gant,750,Spain,Male,22,3,121681.82,1,Yes,No,128643,1
88,Valeria,Rowley,729,France,Male,30,9,,2,Yes,No,151869,0
89,Bruce,Sharpe,646,France,Female,46,4,,3,Yes,No,93251,1
90,Marcus,Osborne,635,Germany,Female,28,3,81623.67,2,Yes,Yes,156791,0
91,Luke,Heap,647,Spain,Female,44,5,,3,Yes,Yes,174205,1
92,Amelia,Ritchie,808,France,Male,45,7,118626.55,2,Yes,No,147132,0
93,Fiona,Cole,524,France,Female,36,10,,2,Yes,No,109615,0
94,Tiana,Capon,769,France,Male,29,8,,2,Yes,Yes,172291,0
95,Kate,Capon,730,Spain,Male,42,4,,2,No,Yes,85982,0
96,Roman,Fiorentini,515,Spain,Male,35,10,176273.95,1,No,Yes,121278,0
97,Edgar,Graham,773,Spain,Male,41,9,102827.44,1,No,Yes,64595,0
98,Roman,Yuille,814,Germany,Male,29,8,97086.4,2,Yes,Yes,197276,0
99,Chloe,Allard,710,Spain,Male,22,8,,2,No,No,99645,0
100,Henry,Fanucci,413,France,Male,34,9,,2,No,No,6534,0
101,Patrick,Fu,665,France,Female,40,6,,1,Yes,Yes,161848,0
102,Myra,Hung,623,France,Female,44,6,,2,No,No,167162,0
103,Miller,Hung,738,France,Male,31,9,82674.15,1,Yes,No,41971,0
104,Garry,Bradley,528,Spain,Male,36,7,,2,Yes,No,60537,0
105,Miller,Dunbabin,670,Spain,Female,65,1,,1,Yes,Yes,177656,1
106,Emma,Mauldon,622,Spain,Female,46,4,107073.27,2,Yes,Yes,30985,1
107,Mike,Stiger,582,Germany,Male,32,1,88938.62,1,Yes,Yes,10055,0
108,Miley,Parsons,785,Germany,Female,36,2,99806.85,1,No,Yes,36977,0
109,Vanessa,Walkom,605,Spain,Male,33,5,150092.8,1,No,No,71863,0
110,Evelyn,T'ang,479,Germany,Male,35,9,92833.89,1,Yes,No,99450,1
111,Miller,Eremenko,685,Germany,Male,30,3,90536.81,1,No,Yes,63083,0
112,Kristian,Rowntree,538,Germany,Male,39,7,108055.1,2,Yes,No,27231,0
113,April,Thorpe,562,France,Male,42,2,100238.35,1,No,No,86797,0
114,Emily,Chiemela,675,Spain,Male,36,9,106190.55,1,No,Yes,22994,0
115,Adison,Fanucci,721,Germany,Male,28,9,154475.54,2,No,Yes,101301,1
116,Alissa,Ko,628,Germany,Female,30,9,132351.29,2,Yes,Yes,74169,0
117,Cherry,Welch,668,Germany,Female,37,6,167864.4,1,Yes,No,115638,0
118,Adele,Duncan,506,France,Female,41,1,,2,Yes,No,31766,0
119,Vanessa,Chidozie,524,Germany,Female,31,8,107818.63,1,Yes,No,199725,1
120,Leonardo,Wu,699,Germany,Male,34,4,185173.81,2,Yes,No,120834,0
121,Daryl,Culbreth,828,France,Male,34,8,129433.34,2,No,No,38132,0
122,Fiona,Kennedy,674,Spain,Male,39,6,120193.42,1,No,No,100131,0
123,Melissa,Cameron,656,France,Female,39,6,,2,Yes,No,141070,0
124,Kellan,Calabresi,684,Germany,Female,48,10,126384.42,1,Yes,Yes,198129,0
125,Carl,Zetticci,625,France,Female,28,3,,1,No,No,183646,0
126,Kate,Fuller,432,France,Male,42,9,152603.45,1,Yes,No,110265,1
127,Chelsea,MacDonald,549,France,Female,52,1,,1,No,Yes,8636,1
128,Carlos,Piccio,625,Germany,Male,56,0,148507.24,1,Yes,No,46824,1
129,Michelle,Kennedy,828,France,Female,41,7,,2,Yes,No,171379,0
130,Dale,Fernie,770,France,Male,24,9,101827.07,1,Yes,No,167256,0
131,Arianna,He,758,France,Female,34,3,,2,Yes,Yes,124226,0
132,Jasmine,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,Yes,Yes,114935,0
133,Lenny,Cocci,687,France,Male,38,9,122570.87,1,Yes,Yes,35609,0
134,Adele,Alekseeva,686,France,Male,25,1,,2,No,Yes,16459,0
135,Alen,Chinweike,789,Germany,Male,39,7,124828.46,2,Yes,Yes,124411,0
136,Martin,Arthur,589,Germany,Female,50,5,144895.05,2,Yes,Yes,34941,0
137,Sydney,Li,461,Germany,Female,34,5,63663.93,1,No,Yes,167784,0
138,Heather,Ma,637,France,Male,40,2,133463.1,1,No,Yes,93165,0
139,Chelsea,Chia,584,Spain,Female,48,2,213146.2,1,Yes,No,75161,1
140,Audrey,Vasin,579,Spain,Female,35,1,129490.36,2,No,Yes,8591,1
141,Stuart,Groves,756,Germany,Male,44,10,137452.09,1,Yes,No,189544,0
142,Alissa,Tien,663,France,Male,34,7,,2,Yes,Yes,180427,0
143,Freddie,Forwood,682,France,Female,43,5,125851.93,1,Yes,Yes,193318,0
144,Cadie,Greeves,793,Spain,Male,52,2,,1,Yes,No,159124,1
145,Sophia,Taylor,691,France,Female,31,5,40915.55,1,Yes,No,126214,1
146,Albert,Madukwe,485,Spain,Female,21,5,113157.22,1,Yes,Yes,54142,0
147,Ryan,Bennelong,635,Spain,Female,29,8,138296.94,2,Yes,No,141076,0
148,Victor,Olisanugo,650,France,Male,37,5,106967.18,1,No,No,24495,0
149,Elise,Chukwufumnanya,735,France,Male,44,9,120681.63,1,Yes,No,74836,0
150,Vivian,Harris,416,France,Male,32,0,,2,No,Yes,879,0
151,Arthur,Morgan,754,Spain,Female,32,7,,2,Yes,No,89521,0
152,Daisy,Alexeeva,535,France,Female,48,9,,1,Yes,No,149893,1
153,Henry,Metcalfe,716,Spain,Male,42,8,,2,Yes,No,180800,0
154,Jessica,Humphries,539,France,Male,37,2,127609.59,1,Yes,No,98646,0
155,Amanda,Milne,614,France,Female,43,6,,2,Yes,Yes,109042,0
156,Eddy,Chou,706,Spain,Male,57,7,,1,Yes,No,17941,1
157,Blake,Li,758,France,Female,33,7,,2,No,No,82996,0
158,Frederick,Clayton,586,Spain,Female,28,2,,2,Yes,Yes,92067,0
159,Mary,Maclean,646,France,Female,73,6,97259.25,1,No,Yes,104720,0
160,Sienna,Chigolum,631,Germany,Female,33,4,123246.7,1,No,No,112688,0
161,Alen,Wilkinson,717,Spain,Female,22,6,101060.25,1,No,Yes,84700,0
162,Wilson,Wei,684,France,Male,30,2,,2,Yes,No,83474,0
163,Nicole,Treacy,800,France,Female,49,7,108007.36,1,No,No,47125,0
164,Vincent,Hu,721,Spain,Female,36,2,,2,Yes,Yes,106978,0
165,Arianna,Taverner,683,Spain,Male,29,0,133702.89,1,Yes,No,55583,1
166,Lana,Sherman,660,Germany,Male,31,9,125189.75,2,Yes,Yes,139874,0
167,Annabella,Taubman,704,Germany,Female,24,7,113034.22,1,Yes,No,162503,1
168,Deanna,Robinson,615,Spain,Female,41,9,109013.23,1,Yes,No,196500,0
169,Anna,Pinto,667,Spain,Female,39,2,,2,Yes,No,40721,1
170,Elian,Wood,682,Germany,Male,24,9,57929.81,2,No,No,53134,0
171,Emily,Hawkins,484,France,Female,29,4,130114.39,1,Yes,No,164018,0
172,Ashton,Sun,628,Germany,Male,27,5,95826.49,2,Yes,No,155997,0
173,George,Yost,480,Germany,Male,44,10,129608.57,1,Yes,No,5473,1
174,Ryan,Ting,578,France,Male,30,4,169462.09,1,Yes,No,112187,0
175,William,Rowe,512,France,Male,40,5,,2,Yes,Yes,146458,0
176,Alexander,Fu,484,Spain,Female,35,7,133868.21,1,Yes,Yes,27286,0
177,Dexter,Ho,510,France,Female,30,0,,2,Yes,Yes,130553,0
178,Adele,Okechukwu,606,Germany,Male,36,5,190479.48,2,No,No,179352,0
179,Cadie,Campbell,597,Spain,Female,40,8,101993.12,1,No,Yes,94774,0
180,Harold,Ashbolt,754,Germany,Female,55,3,161608.81,1,Yes,No,8081,1
181,Alfred,Rozier,850,Spain,Female,45,2,122311.21,1,Yes,Yes,19483,0
182,Honey,Hsia,510,France,Male,65,2,,2,Yes,Yes,48072,0
183,Adele,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,Yes,No,174531,0
184,Cherry,T'ang,636,France,Male,42,2,,2,Yes,Yes,55471,0
185,Lucia,Cocci,804,France,Female,50,4,,1,Yes,Yes,8547,1
186,Luke,Chang,514,France,Male,32,8,,2,Yes,No,95857,0
187,Alen,T'ao,730,France,Female,39,1,99010.67,1,Yes,No,194946,0
188,Hailey,Ford,525,Spain,Female,37,0,,1,No,Yes,131522,0
189,Dexter,Marshall,616,Spain,Male,30,5,,2,No,Yes,196109,0
190,Carl,Tsai,687,Germany,Female,34,7,111388.18,2,Yes,No,148565,0
191,Adrian,Onwumelu,715,France,Female,41,8,56214.85,2,No,No,92983,1
192,Aida,Graham,512,France,Female,36,3,84327.77,2,Yes,No,17675,0
193,Anna,Golovanov,479,France,Male,40,1,,2,No,No,114996,0
194,Heather,Potts,601,France,Male,32,8,93012.89,1,Yes,No,86957,0
195,Ted,Crawford,580,Spain,Male,29,9,61710.44,2,Yes,No,128078,0
196,Stella,Aleshire,807,France,Male,35,3,174790.15,1,Yes,Yes,600,0
197,Arthur,Moran,616,Spain,Female,32,6,,2,Yes,Yes,43001,0
198,Lucia,Samsonova,721,Germany,Male,37,3,107720.64,1,Yes,Yes,158591,0
199,Robert,Jenkins,501,France,Male,57,10,,2,Yes,Yes,47847,0
200,Victoria,Volkov,521,France,Male,35,6,96423.84,1,Yes,No,10488,0
201,Adison,Chiemezie,850,Spain,Male,30,2,141040.01,1,Yes,Yes,5978,0
202,Alissa,Jude,759,France,Male,42,4,105420.18,1,No,Yes,121409,0
203,Cherry,He,516,Spain,Male,50,5,,1,No,Yes,146146,1
204,Adele,Onuora,711,France,Female,38,2,129022.06,2,Yes,Yes,14375,1
205,Vanessa,Ginikanwa,512,Spain,Male,33,3,176666.62,1,Yes,No,94671,0
206,Leonardo,Ku,550,France,Male,37,3,,1,Yes,Yes,179670,0
207,Daryl,McDonald,608,Spain,Female,41,3,89763.84,1,No,No,199305,1
208,Fiona,Collins,618,France,Male,34,5,134954.53,1,Yes,Yes,151954,0
209,Melissa,Hackett,643,France,Male,45,5,,1,Yes,No,142514,1
210,Kellan,Dike,671,France,Male,45,2,106376.85,1,No,Yes,158265,0
211,Carl,Trevisano,689,Germany,Male,33,2,161814.64,2,Yes,No,169382,0
212,Kate,Tan,603,France,Male,31,8,,2,Yes,Yes,169915,0
213,Chelsea,Glassman,620,France,Female,41,9,,2,No,No,88852,0
214,Carlos,Miller,676,France,Female,34,1,63095.01,1,Yes,Yes,40646,0
215,Michelle,Kornilova,572,Germany,Male,26,4,118287.01,2,No,No,60427,0
216,Dale,Watson,668,Germany,Male,47,7,106854.21,1,No,Yes,157959,1
217,Arianna,Marchesi,695,France,Male,46,7,49512.55,1,Yes,No,133007,0
218,Jasmine,Millar,730,Spain,Female,33,9,,2,No,No,176577,0
219,Lenny,Shih,807,France,Male,43,1,105799.32,2,Yes,No,34888,1
220,Adele,Fuller,592,France,Male,54,8,,1,Yes,Yes,28738,1
221,Alen,Hay,726,France,Female,31,9,114722.05,2,Yes,Yes,98179,0
222,Martin,Yang,514,Spain,Male,30,7,,1,No,Yes,125010,0
223,Sydney,McIntyre,567,France,Male,42,2,,2,Yes,Yes,167985,0
224,Heather,Stevenson,850,France,Male,33,10,,1,Yes,No,4862,1
225,Chelsea,Poole,671,Germany,Male,45,6,99564.22,1,Yes,Yes,108872,1
226,Audrey,Bagley,670,France,Male,37,4,170557.91,2,Yes,No,198253,0
227,Stuart,Ch'ien,694,France,Female,30,9,,2,Yes,Yes,26960,0
228,Richardson,Cattaneo,547,Germany,Female,39,6,74596.15,3,Yes,Yes,85747,1
229,Anderson,O'Sullivan,751,Germany,Male,50,2,96888.39,1,Yes,No,77206,1
230,Rogers,Lucas,594,Germany,Female,29,3,130830.22,1,Yes,No,61049,0
231,Grant,Ringrose,673,France,Male,72,1,,2,No,Yes,111981,0
232,Johnston,Freeman,610,France,Male,40,0,,2,Yes,No,62233,0
233,Walker,Sergeyev,512,France,Female,37,1,,2,No,Yes,156105,0
234,Russell,Fiore,767,Germany,Male,20,3,119714.25,2,No,Yes,150135,0
235,Carter,Smith,585,France,Female,67,5,113978.97,2,No,Yes,93146,0
236,Evans,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,Yes,No,33463,1
237,Ferguson,Pacheco,712,France,Female,29,2,,1,Yes,Yes,144375,0
238,Howard,Synnot,539,Germany,Female,43,3,116220.5,3,Yes,No,55804,1
239,Murray,Johnston,668,France,Female,46,2,,3,Yes,No,89048,1
240,Rogers,Stevens,703,France,Male,28,2,81173.83,2,No,Yes,162812,0
241,Gibson,Grant,662,Spain,Male,38,4,,2,Yes,No,136260,0
242,Barrett,Tsao,725,Germany,Female,39,5,116803.8,1,Yes,No,124053,0
243,Campbell,Barnes,703,France,Male,37,8,105961.68,2,No,Yes,74159,0
244,Ferguson,McIntosh,659,Germany,Male,67,6,117411.6,1,Yes,Yes,45071,1
245,Morrison,Madison,523,Spain,Male,34,7,,2,Yes,No,62030,0
246,Owens,Ifesinachi,635,France,Female,40,10,123497.58,1,Yes,No,131953,1
247,Owens,Glazkov,772,Germany,Male,26,7,152400.51,2,Yes,No,79414,0
248,Ross,Dimauro,545,France,Female,26,1,,2,Yes,Yes,199639,0
249,Holmes,Wieck,634,Germany,Male,24,8,103097.85,1,Yes,Yes,157577,0
250,Harper,Liao,739,Germany,Male,54,8,126418.14,1,Yes,No,134421,1
251,Roberts,Hughes,771,Germany,Female,36,5,77846.9,1,No,No,99806,0
252,Armstrong,Morrison,587,Spain,Female,34,1,,2,Yes,Yes,97933,0
253,Myers,Matveyeva,681,France,Female,79,0,,2,No,Yes,170969,0
254,Cooper,Ku,544,Germany,Male,37,2,79731.91,1,Yes,Yes,57559,0
255,Barnes,Cheatham,696,Spain,Male,28,8,,1,No,No,176713,0
256,Wilson,Yao,766,Spain,Male,41,0,,2,No,Yes,34283,0
257,Harris,Kirkland,727,France,Male,34,10,,2,Yes,Yes,198637,0
258,Martin,Rose,671,Germany,Female,34,6,37266.67,2,No,No,156917,0
259,Farrell,Jess,693,France,Female,30,6,127992.25,1,Yes,Yes,50457,0
260,Evans,Welch,850,Germany,Male,38,3,54901.01,1,Yes,Yes,140076,0
261,Armstrong,Ifeajuna,732,Germany,Male,42,9,108748.08,2,Yes,Yes,65323,0
262,Thompson,Morton,726,Spain,Female,48,6,99906.19,1,Yes,No,64323,0
263,Richardson,Rossi,557,France,Female,32,6,184686.41,2,Yes,No,14956,0
264,Barrett,Reppert,682,France,Female,26,0,110654.02,1,No,Yes,111879,0
265,Andrews,Kang,738,Spain,Male,31,9,79019.8,1,Yes,Yes,18606,0
266,Casey,Ch'iu,531,Spain,Female,36,9,99240.51,1,Yes,No,123137,0
267,Phillips,Wallis,498,France,Male,34,2,,2,Yes,Yes,148528,0
268,Owens,Clark,651,France,Male,36,7,,2,Yes,No,13898,0
269,Clark,Fielding,549,Spain,Female,39,7,,1,No,No,81259,1
270,Phillips,Zetticci,791,Germany,Female,35,7,52436.2,1,Yes,No,161052,0
271,Carroll,Dulhunty,650,Spain,Male,41,9,,2,No,Yes,191600,0
272,Cole,Bevington,733,Germany,Male,34,3,100337.96,3,Yes,No,48559,1
273,Wright,Boyle,811,Germany,Female,34,1,149297.19,2,Yes,Yes,186340,0
274,Harrison,Newton,707,France,Male,30,8,,2,Yes,No,33159,0
275,Douglas,Bowman,712,Germany,Male,28,4,145605.44,1,No,Yes,93884,0
276,Thompson,Dubinina,706,Spain,Female,37,7,,2,Yes,Yes,110899,0
277,Thompson,Toscani,756,France,Male,62,3,,1,Yes,Yes,11199,1
278,Williams,Chiazagomekpere,777,France,Female,53,10,,2,Yes,No,189993,0
279,Casey,Allen,646,France,Male,35,6,84026.86,1,No,Yes,164256,0
280,Baker,K'ung,714,France,Male,46,1,,1,Yes,No,152168,1
281,Anderson,Wilsmore,782,France,Male,39,8,,2,Yes,Yes,33950,0
282,Riley,Hargreaves,775,Spain,Male,29,10,,2,Yes,Yes,68144,0
283,Mitchell,Huang,479,Germany,Male,35,4,138718.92,1,Yes,Yes,47252,1
284,Rogers,Ch'ien,807,France,Male,42,7,118274.71,1,Yes,Yes,25886,0
285,Reed,Wallwork,799,France,Female,22,8,174185.98,2,No,Yes,192634,0
286,Richards,Chu,675,France,Male,40,7,113208.86,2,Yes,No,34577,0
287,Evans,Kang,602,Spain,Male,29,5,103907.28,1,Yes,No,161230,0
288,Alexander,Davidson,475,France,Female,32,8,119023.28,1,Yes,No,100816,0
289,Robinson,O'Donnell,744,Spain,Female,26,5,166297.89,1,Yes,Yes,181694,0
290,Kelly,Nnachetam,588,Spain,Male,34,10,,2,Yes,No,79079,0
291,Hill,Chidiebele,703,Germany,Male,42,9,63227,1,No,Yes,137316,0
292,West,Ahmed,747,Spain,Female,41,5,94521.17,2,Yes,No,194927,0
293,Hill,Booth,583,France,Male,27,7,,2,Yes,No,51285,0
294,Wells,Chuang,750,Spain,Female,34,9,112822.26,1,No,No,150402,1
295,Murray,Shao,681,France,Male,38,3,,2,Yes,Yes,112492,0
296,Harper,Tsao,773,France,Male,25,2,135903.33,1,Yes,No,73656,0
297,Carter,Tien,714,France,Female,31,4,125169.26,1,Yes,Yes,106637,0
298,Andrews,Chang,687,Spain,Female,44,7,,3,Yes,No,155854,1
299,Cunningham,Johnson,511,France,Male,58,0,149117.31,1,Yes,Yes,162600,0
300,Jones,French,627,France,Male,33,5,,2,Yes,Yes,103738,0
301,Hall,Efremov,694,France,Female,31,10,,2,Yes,No,160990,0
302,Davis,Hartley,616,Spain,Female,36,6,132311.71,1,No,No,15463,0
303,Fowler,Calabrese,687,France,Male,35,8,,2,Yes,No,10334,0
304,Stevens,Chiu,712,France,Female,33,6,,2,Yes,Yes,190686,0
305,Wilson,Brennan,553,France,Male,33,4,118082.89,1,No,No,94440,0
306,Payne,Onwuatuegwu,667,France,Male,31,1,119266.69,1,Yes,Yes,28258,0
307,Barrett,Hewitt,731,France,Male,43,2,,1,Yes,Yes,170035,1
308,Armstrong,Shih,629,Germany,Male,35,7,156847.29,2,Yes,No,31824,0
309,Scott,Balashov,614,France,Male,50,4,137104.47,1,Yes,No,127166,1
310,Harris,Doyle,438,Germany,Male,31,8,78398.69,1,Yes,No,44937,0
311,Farrell,Pokrovskii,652,France,Female,80,4,,2,Yes,Yes,188603,0
312,Morgan,Collins,729,Germany,Male,30,6,63669.42,1,Yes,No,145111,0
313,Brown,Russo,642,France,Male,38,3,,2,No,No,171464,0
314,Crawford,Skinner,806,Germany,Female,59,0,135296.33,1,Yes,No,182823,0
315,Kelley,Robertson,744,Spain,Male,36,2,153804.44,1,Yes,Yes,87213,0
316,Ryan,Atkinson,474,Spain,Male,37,3,,2,No,No,57175,0
317,Carter,Doyle,559,France,Male,49,2,147069.78,1,Yes,No,120541,1
318,Robinson,Ritchie,706,Spain,Male,42,9,,2,Yes,Yes,28714,0
319,Stevens,McEncroe,628,Spain,Female,22,3,,1,Yes,No,85426,0
320,Brooks,Pearson,429,France,Male,24,4,95741.75,1,Yes,No,46171,0
321,Ryan,Gordon,525,Spain,Female,57,2,145965.33,1,Yes,Yes,64448,0
322,Ryan,Ts'ai,680,France,Female,30,8,141441.75,1,Yes,Yes,16279,0
323,Scott,Lung,749,France,Male,40,1,139290.41,1,Yes,No,182855,1
324,Higgins,Yuan,763,France,Female,31,4,,2,No,No,50405,0
325,Casey,Pardey,734,France,Male,30,3,,2,Yes,No,107640,0
326,Ellis,Tai,716,France,Male,35,4,144428.87,1,Yes,No,134133,0
327,Warren,Scott,594,France,Male,35,2,,2,Yes,No,103481,0
328,Perry,Hunter,644,France,Female,46,9,95441.27,1,Yes,No,108761,1
329,Murray,Mazzanti,671,Germany,Male,35,1,144848.74,1,Yes,Yes,179012,0
330,Fowler,L?,664,Germany,Male,26,7,116244.14,2,Yes,Yes,95145,0
331,Brown,Beach,656,France,Male,50,7,,2,No,Yes,72143,0
332,Lloyd,Hsieh,667,Spain,Female,40,1,146502.07,1,Yes,No,19163,0
333,Foster,Faulkner,663,Germany,Male,44,2,117028.6,2,No,Yes,144680,0
334,Tucker,Knowles,584,Germany,Female,30,8,112013.81,1,Yes,No,177772,1
335,Crawford,Day,626,Spain,Female,37,6,108269.37,1,Yes,No,5598,0
336,Hill,Hsueh,485,France,Male,29,7,182123.79,1,Yes,No,116829,1
337,Tucker,Tsao,659,Germany,Female,32,3,150923.74,2,No,Yes,174653,0
338,Andrews,Kennedy,649,France,Male,33,2,,2,Yes,No,2011,0
339,Wilson,Nwabugwu,805,Spain,Female,39,5,165272.13,1,Yes,No,14110,1
340,Clark,Young,716,Germany,Female,39,10,115301.31,1,Yes,No,43527,1
